timestamp,index,utilization.gpu,power.draw,memory.used
2026/06/19 10:02:38.794, 6, 0, 14.81, 0
2026/06/19 10:02:38.801, 7, 0, 15.33, 0
2026/06/19 10:02:39.808, 0, 0, 24.27, 0
2026/06/19 10:02:39.816, 1, 0, 24.11, 0
2026/06/19 10:02:39.823, 2, 0, 24.60, 0
2026/06/19 10:02:39.829, 3, 0, 24.26, 0
2026/06/19 10:02:39.837, 4, 0, 23.73, 0
2026/06/19 10:02:39.843, 5, 0, 14.80, 0
2026/06/19 10:02:39.855, 6, 0, 14.51, 0
2026/06/19 10:02:39.862, 7, 0, 15.43, 0
2026/06/19 10:02:40.870, 0, 0, 24.17, 0
2026/06/19 10:02:40.877, 1, 0, 24.16, 0
2026/06/19 10:02:40.884, 2, 0, 24.60, 0
2026/06/19 10:02:40.891, 3, 0, 24.17, 0
2026/06/19 10:02:40.897, 4, 0, 23.88, 0
2026/06/19 10:02:40.904, 5, 0, 14.85, 0
2026/06/19 10:02:40.916, 6, 0, 14.61, 0
2026/06/19 10:02:40.923, 7, 0, 15.23, 0
2026/06/19 10:02:41.930, 0, 0, 24.76, 0
2026/06/19 10:02:41.937, 1, 0, 24.16, 0
2026/06/19 10:02:41.944, 2, 0, 24.65, 0
2026/06/19 10:02:41.951, 3, 0, 24.12, 0
2026/06/19 10:02:41.957, 4, 0, 23.83, 0
2026/06/19 10:02:41.964, 5, 0, 14.90, 0
2026/06/19 10:02:41.974, 6, 0, 14.81, 0
2026/06/19 10:02:41.981, 7, 0, 14.94, 0
2026/06/19 10:02:42.989, 0, 0, 24.71, 0
2026/06/19 10:02:42.996, 1, 0, 24.11, 0
2026/06/19 10:02:43.002, 2, 0, 24.75, 0
2026/06/19 10:02:43.009, 3, 0, 24.17, 0
2026/06/19 10:02:43.016, 4, 0, 23.88, 0
2026/06/19 10:02:43.023, 5, 0, 14.90, 0
